"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","fc_direction"
"ENSG00000197045",1914.61216471734,-0.324367516188581,0.03118526240499,-10.4013078991017,2.44553183647322e-25,4.12683497404856e-24,"GMFB",2764,"DOWN"
"ENSG00000125944",1368.85026250531,-0.308017406231201,0.0383331537956101,-8.03527431824498,9.33697696531867e-16,8.7280436849718e-15,"HNRNPR",10236,"DOWN"
"ENSG00000103226",2303.23497051248,0.532826633205931,0.0273617460508867,19.4734148988516,1.84548567113771e-84,1.59896183894842e-82,"NOMO3",408050,"UP"
"ENSG00000136158",781.923048671576,0.148141101505353,0.0488460800055681,3.03281453677481,0.00242284455054789,0.00531983946693869,"SPRY2",10253,"UP"
"ENSG00000163803",81.185300873509,-1.02001700415314,0.139716030082352,-7.30064405316922,2.86393480794956e-13,2.22261250804107e-12,"PLB1",151056,"DOWN"
"ENSG00000183671",102.840889239024,0.343076518184645,0.110164597727641,3.11421750055158,0.00184433477757076,0.00414072198204898,"GPR1",2825,"UP"
"ENSG00000172493",1318.36494143259,0.120161482365409,0.0357044756699293,3.36544593109963,0.000764200429732543,0.00185188206829364,"AFF1",4299,"UP"
"ENSG00000166847",1114.00983453632,0.266072744882718,0.0360184716943876,7.38711922983055,1.50044045334286e-13,1.18665624409473e-12,"DCTN5",84516,"UP"
"ENSG00000167088",361.416118501657,-0.389461359780454,0.0778324633361946,-5.00384213844279,5.61987842702914e-07,2.18216684072937e-06,"SNRPD1",6632,"DOWN"
"ENSG00000149968",2268.9212970489,-0.649332248313793,0.0310661864294343,-20.9015757305367,5.18063730976539e-97,5.78338453522848e-95,"MMP3",4314,"DOWN"
"ENSG00000150938",1114.50006147863,-0.230052160004165,0.0436797658975357,-5.26679013215921,1.38829762560706e-07,5.86114015756288e-07,"CRIM1",51232,"DOWN"
"ENSG00000182718",6756.23219516528,-0.087142213867509,0.0183909926988706,-4.73830941561194,2.15508579875222e-06,7.74390161668624e-06,"ANXA2",302,"DOWN"
"ENSG00000100241",1217.43226060818,0.496313533710932,0.0399162668974473,12.4338664982389,1.71151351825399e-35,4.18329935724818e-34,"SBF1",6305,"UP"
"ENSG00000198730",761.198595979129,0.120232130293362,0.0443416761070466,2.71149268248466,0.00669810194589789,0.0132931561695512,"CTR9",9646,"UP"
"ENSG00000205336",2001.29472908814,-0.212253742188686,0.0309518461989659,-6.85754706922063,7.00529472503143e-12,4.76737818039947e-11,"ADGRG1",9289,"DOWN"
"ENSG00000005801",308.132898111887,-0.647188657092756,0.0719496596980123,-8.99502040467101,2.36188336749474e-19,2.87738361979159e-18,"ZNF195",7748,"DOWN"
"ENSG00000153201",3360.33884074992,-0.0690359884759132,0.0235314258920064,-2.93377837759354,0.00334863217358847,0.00712958363017828,"RANBP2",5903,"DOWN"
"ENSG00000112902",202.875766461834,0.236459100853678,0.108333037522135,2.18270535251413,0.0290575155086867,0.0498386401323464,"SEMA5A",9037,"UP"
"ENSG00000036549",1275.32275221116,-0.109287959083387,0.0381245818684764,-2.86660085769367,0.00414905930517223,0.00864977168846284,"",26009,"DOWN"
"ENSG00000148943",1231.05136053315,0.11331075976384,0.0357885615348179,3.16611662789527,0.001544888389154,0.00352588051859208,"LIN7C",55327,"UP"
"ENSG00000186638",230.400058247011,-0.490164161554583,0.104915766175235,-4.6719780965607,2.98312777927439e-06,1.05270861754941e-05,"KIF24",347240,"DOWN"
