"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","fc_direction"
"ENSG00000158435",465.007292223255,0.243379336498406,0.0593343149975872,4.10183106535068,4.09893501203893e-05,0.000122493270243943,"CNOT11",55571,"UP"
"ENSG00000059377",167.302047794779,-0.419442081502827,0.102307182108204,-4.09983026469449,4.13453260804003e-05,0.000123493500332762,"TBXAS1",6916,"DOWN"
"ENSG00000204568",273.574232087435,-0.325588436147062,0.079424887240234,-4.09932512919111,4.14356608258662e-05,0.00012373148718835,"MRPS18B",28973,"DOWN"
"ENSG00000183530",896.152010309764,0.172460096060413,0.0422468951167854,4.08219575861546,4.46121937962369e-05,0.000132637021760387,"PRR14L",253143,"UP"
"ENSG00000198892",69.8313103428402,0.592558155320498,0.145180713681646,4.08152116278934,4.47419028263687e-05,0.000132988605175151,"SHISA4",149345,"UP"
"ENSG00000162623",544.137071489877,-0.234691482626076,0.0577267620270727,-4.0655577133533,4.79177340939462e-05,0.000141955828739657,"TYW3",127253,"DOWN"
"ENSG00000144034",267.182574334891,-0.349712804352347,0.0861319297717395,-4.06019933930576,4.90308376360843e-05,0.000144920576617856,"TPRKB",51002,"DOWN"
"ENSG00000181481",129.843682261168,0.441059344883232,0.108650795155915,4.05942123341396,4.91944986268549e-05,0.00014533031273735,"RNF135",84282,"UP"
"ENSG00000167323",554.165738279475,0.2233429846449,0.0550221462560574,4.05914708607557,4.92522840022735e-05,0.000145427013546896,"STIM1",6786,"UP"
"ENSG00000173409",231.804747102758,0.334853184553454,0.0825577746657416,4.05598607652885,4.99232334637714e-05,0.000147258318220118,"ARV1",64801,"UP"
"ENSG00000185900",179.650394459329,-0.411767519473488,0.101593962393624,-4.05307077086039,5.05497022673247e-05,0.00014899264872395,"POMK",84197,"DOWN"
"ENSG00000101391",319.119637088072,-0.294564623602777,0.0727236916947323,-4.05046301608632,5.11163884639583e-05,0.000150433782019406,"CDK5RAP1",51654,"DOWN"
"ENSG00000168701",222.929119273376,0.3360289933893,0.0831851509396275,4.03953096909299,5.35581962296359e-05,0.00015714194041599,"TMEM208",29100,"UP"
"ENSG00000198001",253.878916964799,0.327229014807147,0.0810535300771301,4.03719633797267,5.40937954097412e-05,0.000158473117513776,"IRAK4",51135,"UP"
"ENSG00000118777",98.6035256695084,0.53624869033895,0.132840898410074,4.03677404140684,5.41912169324842e-05,0.0001587184734072,"ABCG2",9429,"UP"
"ENSG00000134780",120.754826429157,-0.485690095496954,0.120935412142499,-4.01611146720751,5.91662795022601e-05,0.000172117390383673,"DAGLA",747,"DOWN"
"ENSG00000160310",540.652787490571,0.220413198474987,0.0549480759290293,4.01129966333437,6.03854056871339e-05,0.000175356318165989,"PRMT2",3275,"UP"
"ENSG00000123349",470.204153820503,0.247153409970095,0.0616440716835951,4.00936218552657,6.088297333891e-05,0.000176624517857258,"PFDN5",5204,"UP"
"ENSG00000132005",79.6062237733419,-0.576951855334854,0.144126205018298,-4.00310169314181,6.25174132205363e-05,0.000181097765246404,"RFX1",5989,"DOWN"
"ENSG00000079313",251.464479280317,-0.322198237902629,0.0806134966307064,-3.9968274714423,6.41970534896209e-05,0.000185543388353124,"REXO1",57455,"DOWN"
"ENSG00000181467",423.982174301612,0.256055438025969,0.0640910513211533,3.99518236552094,6.46444736060315e-05,0.000186587740431578,"RAP2B",5912,"UP"
"ENSG00000198885",52.1666487119032,-0.835831255180396,0.209238422816486,-3.99463561199497,6.47938267069108e-05,0.000186895982128506,"ITPRIPL1",150771,"DOWN"
"ENSG00000131148",267.126913406798,-0.324956763132852,0.0814927858845646,-3.98755251284643,6.67584308496516e-05,0.000192180853499741,"EMC8",10328,"DOWN"
"ENSG00000091073",140.60273305544,-0.433958304113066,0.108840089427174,-3.98711822451628,6.6880703212761e-05,0.00019240597584517,"DTX2",113878,"DOWN"
"ENSG00000103148",68.2584748356757,-0.633313447092132,0.159388381761855,-3.97339781037728,7.08545643751202e-05,0.000203066278053603,"NPRL3",8131,"DOWN"
"ENSG00000179104",120.958684999294,0.453689522794985,0.114210623579931,3.97239336039058,7.11540930859261e-05,0.000203874388136131,"TMTC2",160335,"UP"
"ENSG00000188010",165.156758099393,0.393665160197403,0.0991380083089653,3.97088025987509,7.16075643968226e-05,0.0002051230749191,"MORN2",729967,"UP"
"ENSG00000164659",246.273975506589,0.321897366315514,0.0810732131801113,3.97045280048776,7.17361669898731e-05,0.000205390110666443,"KIAA1324L",222223,"UP"
"ENSG00000153207",1553.97847100563,-0.136202825168184,0.0343640635616606,-3.96352500407267,7.38511244655623e-05,0.000210925351794632,"AHCTF1",25909,"DOWN"
"ENSG00000197969",1266.09336651958,0.159520059984664,0.0403308716426219,3.95528421498539,7.64437190052353e-05,0.000217901197557275,"VPS13A",23230,"UP"
"ENSG00000164124",128.960648781688,0.441125331450268,0.111547856322374,3.95458367371411,7.66680373566537e-05,0.000218486969492084,"TMEM144",55314,"UP"
"ENSG00000139318",407.720333237173,0.263249607590436,0.0665841759792856,3.95363618635656,7.69724199370374e-05,0.000219300563305277,"DUSP6",1848,"UP"
"ENSG00000162409",332.255353491113,0.283502281976424,0.0717818867149067,3.94949610480982,7.83158852729276e-05,0.000223073461241092,"PRKAA2",5563,"UP"
"ENSG00000178401",116.680277202377,-0.500145809215334,0.126671004492573,-3.94838433009077,7.86804168288826e-05,0.000224056816135229,"DNAJC22",79962,"DOWN"
"ENSG00000006282",282.621732944144,-0.32386754477751,0.0820983327190485,-3.94487359305855,7.98420853219454e-05,0.000226975173993092,"SPATA20",64847,"DOWN"
"ENSG00000168014",284.52546286253,0.286558981080407,0.0726456587493427,3.94461260333743,7.99290886121294e-05,0.000227166883423947,"C2CD3",26005,"UP"
"ENSG00000135108",368.30160220803,0.264515980999271,0.0671405187540871,3.93973692649149,8.15710086723695e-05,0.000231323744671766,"FBXO21",23014,"UP"
"ENSG00000172086",317.230769354961,0.287088689289058,0.0728930190449153,3.93849360406048,8.19947794880766e-05,0.000232255511395815,"KRCC1",51315,"UP"
"ENSG00000100911",231.944080069904,0.329604637829221,0.0836859570886688,3.93858957100761,8.19619963977056e-05,0.000232255511395815,"PSME2",5721,"UP"
"ENSG00000170889",952.327931496503,-0.172814258727862,0.0439486255296438,-3.93218801828733,8.41761866323278e-05,0.000238014010424093,"RPS9",6203,"DOWN"
"ENSG00000134452",498.129255850171,0.222446699266067,0.0566770113366358,3.92481350057142,8.67969562671917e-05,0.000245006725568222,"FBH1",84893,"UP"
"ENSG00000118579",227.734140085871,-0.331375672068508,0.0844524738468892,-3.92381249446033,8.71585817724906e-05,0.000245848186194999,"MED28",80306,"DOWN"
"ENSG00000162650",68.7635731739853,-0.674583075668793,0.172074804355227,-3.9202896565624,8.84426019629871e-05,0.000249227817667544,"ATXN7L2",127002,"DOWN"
"ENSG00000100227",356.488420265204,-0.265658952357674,0.0678028147266667,-3.91811097265835,8.92456202388428e-05,0.000251185854781325,"POLDIP3",84271,"DOWN"
"ENSG00000105732",169.822567808175,-0.399585434966731,0.102075583592321,-3.91460348208867,9.05528956782406e-05,0.000254680019095052,"ZNF574",64763,"DOWN"
"ENSG00000178234",515.657405104675,0.225133045386484,0.0575421931764819,3.91248635059844,9.13507029663075e-05,0.000256619286549408,"GALNT11",63917,"UP"
"ENSG00000178605",141.325081376796,-0.455416794341214,0.116522251260997,-3.9084105345779,9.29053387331679e-05,0.000260727817909615,"GTPBP6",8225,"DOWN"
"ENSG00000103145",80.6508978845973,-0.577584454587713,0.147823022213748,-3.90726996335213,9.33448403892881e-05,0.000261834645305541,"HCFC1R1",54985,"DOWN"
"ENSG00000141934",113.968528305113,-0.478862485491448,0.122555729395788,-3.90730394941375,9.33317160464779e-05,0.000261834645305541,"PLPP2",8612,"DOWN"
"ENSG00000110237",88.7490338539172,-0.523865695096775,0.134343883156251,-3.89943838743656,9.64160673838936e-05,0.000269862715122229,"ARHGEF17",9828,"DOWN"
"ENSG00000115275",353.341634710211,0.261604858283281,0.0671340490760318,3.89675376182068,9.74906506945463e-05,0.000272607527592409,"MOGS",7841,"UP"
"ENSG00000070413",438.719814046706,0.233893620647324,0.0600646362633141,3.89403208273784,9.85916016280686e-05,0.000275487002383123,"DGCR2",9993,"UP"
"ENSG00000167113",261.341767495946,-0.322104884966181,0.0828019665097471,-3.89006322607404,0.00010021810704796,0.000279560841621051,"COQ4",51117,"DOWN"
"ENSG00000168758",111.433643726021,-0.489232659077361,0.125891344338873,-3.88615008956015,0.000101846551885816,0.00028372044954893,"SEMA4C",54910,"DOWN"
"ENSG00000005302",211.515389454486,-0.365821064377521,0.0943169781077836,-3.87863427896797,0.000105044538386264,0.00029211187800348,"MSL3",10943,"DOWN"
"ENSG00000176407",862.109389391715,-0.187000239020155,0.0482392844028132,-3.87651353736188,0.000105963916952767,0.000294597958769546,"KCMF1",56888,"DOWN"
"ENSG00000177054",393.872492508254,-0.266297909190902,0.0687479628519882,-3.87353891146174,0.00010726627077148,0.000297933350157148,"ZDHHC13",54503,"DOWN"
