Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR2443173	2437.0	101877.0	467057.0	1047605.0	882925.0	831451.0	792016.0	750366.0	762681.0	767045.0	786890.0	751548.0	715328.0	673773.0	765525.0	600864.0	629824.0	539498.0	521799.0	523037.0	535974.0	508608.0	527490.0	519163.0	521847.0	534613.0	525429.0	539556.0	556322.0	580223.0	608937.0	614525.0	679584.0	963564.0	5363122.0	68327150.0
SRR2443174	2259.0	93949.0	496810.0	955455.0	898713.0	854560.0	856167.0	798642.0	756113.0	771820.0	788811.0	689572.0	672815.0	626141.0	629082.0	543359.0	504253.0	490949.0	557880.0	452145.0	463643.0	449083.0	437335.0	439483.0	448981.0	442487.0	452519.0	452339.0	456774.0	469447.0	598407.0	469566.0	495174.0	631672.0	2886074.0	74470526.0
SRR2443175	1668.0	139704.0	302310.0	741488.0	683091.0	600782.0	602774.0	741033.0	594145.0	634182.0	709098.0	600876.0	571677.0	562080.0	686053.0	500151.0	574555.0	507335.0	805926.0	499110.0	489169.0	441390.0	398673.0	396309.0	478309.0	333237.0	346030.0	372485.0	353170.0	330032.0	319949.0	347234.0	342226.0	424842.0	1750383.0	84120670.0
SRR2443176	1868.0	76311.0	359056.0	821744.0	713539.0	705579.0	682175.0	639971.0	658405.0	639359.0	677960.0	683794.0	657303.0	671772.0	645627.0	624421.0	630001.0	512201.0	492973.0	478798.0	466375.0	416859.0	419460.0	398210.0	367790.0	383386.0	357693.0	376417.0	376593.0	363247.0	380250.0	382782.0	422897.0	497138.0	1826248.0	64975912.0
SRR2443177	2306.0	92685.0	425299.0	961876.0	875935.0	731715.0	725393.0	675272.0	680345.0	684556.0	686834.0	661644.0	610231.0	552054.0	519417.0	497945.0	485079.0	456890.0	463085.0	462509.0	467249.0	463431.0	466603.0	461394.0	454191.0	474439.0	460186.0	480442.0	483474.0	511198.0	530590.0	521313.0	603009.0	846917.0	4585223.0	52900443.0
SRR2443178	1496.0	119068.0	272393.0	681362.0	617763.0	548407.0	551993.0	654510.0	525379.0	564653.0	630784.0	538020.0	511978.0	510648.0	615133.0	449418.0	536542.0	450471.0	718055.0	451853.0	450172.0	392430.0	361606.0	355627.0	424938.0	297388.0	303923.0	330615.0	310768.0	286842.0	281837.0	308658.0	311412.0	380180.0	1591696.0	73991516.0
SRR2443179	1966.0	82837.0	394466.0	931628.0	814293.0	816151.0	841538.0	757474.0	741498.0	763940.0	782599.0	780502.0	745407.0	947348.0	768801.0	732260.0	746817.0	619499.0	630006.0	623046.0	556299.0	506189.0	484058.0	441181.0	474669.0	449576.0	440243.0	474953.0	473949.0	453922.0	529800.0	1135107.0	790444.0	851739.0	2915389.0	80718414.0
SRR2443180	2140.0	89133.0	400895.0	956391.0	821054.0	809632.0	938444.0	745511.0	747705.0	772228.0	771354.0	718154.0	637292.0	658784.0	561417.0	557736.0	554701.0	480433.0	474386.0	461741.0	475605.0	471354.0	452903.0	457499.0	461166.0	471709.0	454048.0	462830.0	472323.0	454046.0	495238.0	491546.0	597137.0	662779.0	2710827.0	85272757.0
SRR2443181	2108.0	87184.0	425943.0	964276.0	847829.0	831608.0	794066.0	789084.0	762736.0	757402.0	841846.0	845534.0	785051.0	779592.0	716900.0	669983.0	628256.0	563378.0	528842.0	547383.0	507918.0	496684.0	510957.0	536617.0	502936.0	496133.0	472623.0	483801.0	504068.0	517589.0	513772.0	523168.0	602403.0	612358.0	1767095.0	85659790.0
SRR2443182	1876.0	74019.0	327909.0	782793.0	690258.0	670377.0	655345.0	618225.0	615557.0	605965.0	638767.0	629109.0	603516.0	600174.0	560403.0	546683.0	554138.0	523313.0	466094.0	467383.0	429302.0	366380.0	354635.0	337597.0	320072.0	327561.0	332864.0	328926.0	333929.0	327851.0	341102.0	342041.0	378971.0	473786.0	2081062.0	73797040.0
SRR2443183	2312.0	94704.0	420365.0	990557.0	900852.0	864462.0	835341.0	909713.0	795826.0	856841.0	839420.0	828100.0	796170.0	801608.0	754633.0	678640.0	668854.0	542832.0	731755.0	529063.0	528661.0	497419.0	502579.0	482882.0	460870.0	489200.0	469202.0	572268.0	485286.0	488517.0	484640.0	496678.0	538224.0	671919.0	2790043.0	85331893.0
SRR2443184	1651.0	71373.0	289087.0	686163.0	609593.0	595096.0	608941.0	632497.0	645033.0	608080.0	630576.0	577467.0	609324.0	603991.0	555768.0	554265.0	568297.0	493452.0	469997.0	460132.0	382540.0	367101.0	351945.0	341879.0	345482.0	369077.0	333009.0	347592.0	349547.0	347752.0	363372.0	358556.0	393936.0	469567.0	1877157.0	89441799.0
SRR2443185	1628.0	69990.0	323052.0	723030.0	656888.0	652475.0	652546.0	663279.0	664684.0	648188.0	646355.0	614640.0	606847.0	602754.0	586076.0	575327.0	601942.0	483990.0	478565.0	499826.0	432166.0	400090.0	395166.0	377753.0	350757.0	376642.0	345951.0	363679.0	378922.0	362563.0	371380.0	378317.0	419807.0	504279.0	1946707.0	90414954.0
SRR2443186	2287.0	96557.0	417078.0	966713.0	872312.0	826074.0	812053.0	763886.0	762527.0	766187.0	763996.0	727263.0	703282.0	691393.0	668202.0	649739.0	640662.0	632672.0	633697.0	603787.0	599145.0	584220.0	524948.0	483620.0	449749.0	432006.0	435467.0	431789.0	435998.0	436566.0	439768.0	436124.0	451880.0	528647.0	1567652.0	74272272.0
SRR2443187	2030.0	84075.0	372006.0	882669.0	777360.0	737383.0	724224.0	713519.0	689375.0	693964.0	918200.0	724708.0	739666.0	712903.0	675224.0	656031.0	647625.0	592488.0	530946.0	511214.0	457659.0	438009.0	428038.0	411548.0	387618.0	400122.0	385172.0	386333.0	390423.0	388328.0	405226.0	401288.0	423372.0	506859.0	1919287.0	70149885.0
SRR2443188	1819.0	73607.0	336908.0	746144.0	691584.0	669558.0	651898.0	659301.0	652876.0	650024.0	689165.0	684582.0	661982.0	599650.0	543560.0	511263.0	503490.0	496001.0	504306.0	493155.0	465951.0	441385.0	433699.0	420452.0	396060.0	383918.0	397863.0	388443.0	387424.0	384650.0	375602.0	395798.0	399535.0	479881.0	1741572.0	92688638.0
SRR2443189	1626.0	64167.0	286108.0	655365.0	591757.0	586017.0	558999.0	582582.0	569742.0	565870.0	585521.0	583268.0	585964.0	574579.0	576802.0	593326.0	574010.0	558891.0	580121.0	1006879.0	778383.0	610433.0	582955.0	508791.0	443650.0	399112.0	433918.0	648736.0	368617.0	514125.0	585826.0	416586.0	454112.0	628177.0	1765797.0	76793545.0
SRR2443190	1509.0	125728.0	300896.0	659487.0	609984.0	540548.0	526617.0	750842.0	576313.0	575278.0	688171.0	629227.0	590325.0	550705.0	648103.0	494872.0	565157.0	617477.0	499570.0	480715.0	461182.0	414277.0	427028.0	404900.0	641900.0	447000.0	347354.0	317649.0	330045.0	364544.0	338288.0	298165.0	323067.0	389747.0	1609431.0	78530030.0
SRR2443191	2006.0	73299.0	361162.0	802202.0	761941.0	730869.0	696891.0	702314.0	677869.0	675220.0	744272.0	710788.0	682684.0	707508.0	673484.0	612545.0	617032.0	937229.0	491616.0	539386.0	489582.0	413682.0	428220.0	385613.0	427193.0	398911.0	396833.0	403642.0	477255.0	485063.0	488909.0	507364.0	536047.0	590727.0	2022336.0	87459707.0
SRR2443192	1831.0	72862.0	321988.0	767554.0	684181.0	659081.0	651361.0	616916.0	601589.0	612329.0	641499.0	636156.0	622371.0	659578.0	627199.0	629649.0	672601.0	612479.0	634969.0	1085854.0	883354.0	649212.0	643368.0	512574.0	460314.0	431994.0	416059.0	702578.0	396011.0	692407.0	611122.0	484914.0	538077.0	619659.0	1994612.0	83883286.0
SRR2443193	1896.0	74481.0	327086.0	761482.0	676348.0	655780.0	645128.0	623474.0	608728.0	613508.0	643755.0	633537.0	626966.0	637083.0	622514.0	627310.0	648947.0	608141.0	634357.0	1085458.0	888942.0	655460.0	640366.0	512494.0	461352.0	427552.0	417715.0	699355.0	400000.0	709390.0	605699.0	492267.0	530177.0	618413.0	1999706.0	87612836.0
